feature_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPV_0001	5848.82122862734	0.136775001167713	0.0551410546987389	2.48038515081776	0.0131240535406429	0.0182944145211912
SPV_0002	4888.77625015508	0.068399227392103	0.0531465361623845	1.28698450436872	0.198099689183155	0.234762915240933
SPV_0003	193.875882924714	0.54807792348755	0.174299608119766	3.14297134983463	0.00167242208497837	0.00252261233942406
SPV_0004	3936.13223593172	0.39254253217877	0.0412678053726513	9.51180394624738	1.8738441296103e-21	6.19930099546076e-21
SPV_0005	518.373396272043	-0.509261174530235	0.0943456888095569	-5.40180125629425	6.59750240401076e-08	1.30829593126487e-07
SPV_0006	2786.1909892467	-0.501258455908029	0.0638258852374782	-7.85437055785554	4.01784774341277e-15	1.07921891348773e-14
SPV_0007	418.675500531412	0.05613793268834	0.123161535232907	0.452786512598639	0.650702476516041	0.690349767976666
SPV_0008	745.975373331861	-0.0635533636999103	0.0863493697985653	-0.738655957844491	0.460115935754596	0.506608193804867
SPV_0009	84.4861690852383	0.128557461857315	0.202184040656324	0.624393968483023	0.532368885189886	0.579042321699684
SPV_0010	3155.67999580843	-0.331134647617475	0.070698073331863	-4.68458105419518	2.80533138295119e-06	5.08546373987042e-06
SPV_0011	2178.26109108143	-0.798435968075893	0.0759712219461895	-10.510718659419	7.71037302748848e-26	2.94895769933808e-25
SPV_0012	5943.60496662013	-0.960155952370204	0.0738321176143472	-13.0051182755736	1.14421744710571e-38	5.76464881346406e-38
SPV_0013	25410.0397085689	-0.701959089262154	0.0529051583611101	-13.2683534379056	3.53257614439215e-40	1.85999035719321e-39
SPV_0014	241.854432198412	1.86916089426889	0.139226576990752	13.4136985713	5.02680050231242e-41	2.68231155835757e-40
SPV_0023	341.921547168189	2.57323369899504	0.101363829639728	25.3530662942863	8.31330437302463e-142	1.9414010800534e-140
SPV_0024	10630.2728389074	0.722747523717864	0.077363530669681	9.3422366185384	9.43202387770844e-21	3.05924303876654e-20
SPV_0025	43.2953532334206	0.675183410877482	0.289296006003337	2.33188744399934	0.0197066131861632	0.0268849671302638
SPV_2459	1.09893147904616	0.155461099848334	0.617057423943562	0.251524188227339	0.801408863650836	0.831137196628479
SPV_0027	437.777671620506	0.947199421964114	0.104759454251765	9.04111672941102	1.55079323929705e-19	4.79489809969571e-19
SPV_0028	682.493212172553	0.648503362888842	0.0803141153416162	8.07442495339914	6.77953812811574e-16	1.86132547500826e-15
SPV_0029	1486.51731736707	0.402307685175261	0.0713317699490683	5.64011878405018	1.69932894600881e-08	3.46321145567504e-08
SPV_0030	3848.55272592645	0.724009616579702	0.0533963231579064	13.5591147977661	6.99754467477892e-42	3.82648104116698e-41
SPV_0033	10154.6359315208	0.536658123960096	0.0644365081471879	8.32846580217726	8.18967201978985e-17	2.33235279186268e-16
SPV_2460	442.342990952437	0.00908993410596898	0.122523206266668	0.0737036356429982	0.941246205835056	0.952430967478877
SPV_0038	11215.3264557662	-0.561781993474386	0.0532818516203162	-10.5436492661795	5.4348174106309e-26	2.0866755435401e-25
SPV_0039	2090.08145649131	0.152521215643499	0.0926846924964844	1.64565516553599	0.0998347745689639	0.123857517199621
SPV_0040	12885.752226112	0.449044359527504	0.0659283305049468	6.81110607312847	9.68511839123232e-12	2.31347292498149e-11
SPV_0041	3420.45461340767	0.410069885232972	0.0579388953453781	7.07754841225349	1.46726942496447e-12	3.59571581303022e-12
SPV_0042	1546.34734918768	0.592622309455312	0.0591471176442059	10.0193272647128	1.25353259100721e-23	4.49144800207455e-23
SPV_0043	2300.94347914907	0.38436323566941	0.0676766473587881	5.67925436056049	1.35283176005483e-08	2.7770124547144e-08
SPV_0044	1024.66943010587	0.224351077799607	0.0694467365179707	3.22981729181987	0.00123869349824762	0.00188558787885086
SPV_0046	607.194028251365	0.405668761887689	0.0936678677015591	4.33046936899055	1.48791843614026e-05	2.60911492556397e-05
SPV_0047	82.4889238115727	1.47549961651534	0.225648570868253	6.5294921991786	6.59930485305546e-11	1.52321164340873e-10
SPV_2462	227.209098208448	0.718539303663813	0.195939676313888	3.66738836640176	0.000245040473991529	0.000394169644143586
SPV_2461	19.7050368030073	0.195821405618846	0.459236517309492	0.430742713155204	0.666655457752015	0.706142520617796
SPV_2085	13.4537013939409	0.223405911224352	0.42426141757699	0.525618700758956	0.599153160750525	0.642875148156644
SPV_0048	29.8375891917177	0.401401637201299	0.295772192592099	1.35996756576898	0.173840187919349	0.208251522643275
SPV_0049	1944.94289423512	3.97752965754733	0.0968282135830645	41.0533621098355	0	0
SPV_0050	1636.83125413354	4.36851161275483	0.0791167637600018	55.1553645657614	0	0
SPV_0051	5819.80912827322	-1.09584823544048	0.172462438262557	-6.35428473652889	2.09398651004354e-10	4.67029575554654e-10
SPV_0052	35338.469426235	-0.914916687827451	0.0913824081455275	-10.0118857736135	1.35151414074373e-23	4.81643728792873e-23
