feature_id	D39_lac_1	D39_lac_2	D39_lac_3	D39_lac_4	D39_lac_5	D39_lac_6	D39_LNnT_7	D39_LNnT_8	D39_LNnT_9	D39_LNnT_10	D39_LNnT_11	D39_LNnT_12	D39_6SL_13	D39_6SL_14	D39_6SL_15	D39_6SL_16	D39_6SL_17	D39_6SL_18
SPV_0001	8.749696206113898	8.73181867019135	8.743498199159378	8.608474548345761	8.719961868198618	8.698658886199675	8.847229158569816	9.055364663045927	9.009638320564761	8.611064343250197	8.578187933355016	8.703627918655105	8.932326001329578	8.953408106798568	8.854328217422902	8.685673287576877	8.586061308931754	8.598024679406414
SPV_0002	8.50240801289436	8.561954975917082	8.495039332747648	8.421847642477333	8.522973112636553	8.563551118284492	8.725241984075378	8.712816115517981	8.644458341755708	8.288629657910244	8.385260968007866	8.402039551687187	8.532049178088455	8.484360692029801	8.410330061786052	8.538946495448736	8.427926972733243	8.442197681560748
SPV_0003	3.7787245171879222	3.6653947652913352	3.9631345255420287	3.7941432718488413	3.838141503673852	3.781110675703105	3.9577188500696354	4.03765831641497	4.384983147131087	3.9646490178146716	3.883317420981621	4.068705402025478	4.093380544489683	4.105078382252907	3.9050094482345	3.741085663845303	2.9540436809899266	3.021656263715376
SPV_0004	8.161884514036828	8.160450513741157	8.2167912111964565	8.461716286982234	8.405354774513498	8.408257871066404	8.079863619120925	8.117723922430898	8.161715648792732	8.14754009159095	8.079519814380044	8.0654096024066515	8.47063551177713	8.441278242317772	8.414753632989601	7.774391715000583	7.838267169998043	7.8044881104965675
SPV_0005	4.482728511835453	4.570207618899403	4.665448727874433	5.800700607293157	5.8418741733072945	5.745799010807655	4.9694035795045846	5.297816912790684	5.0903655200425275	5.386545562818755	5.247036481074676	5.369063330547686	5.458904863589331	5.453954726442437	5.366558133137719	5.097830448142459	5.027072291180125	5.193706617154066
SPV_0006	6.9933575688579435	7.1251400347167175	7.163925144022161	8.25220486462853	8.319064578869705	8.223240786799725	7.443273464811182	7.456727181880566	7.443180599117344	7.685160985969362	7.628227552845603	7.597091749128803	7.952117633055203	7.808913307881996	7.759394277066075	7.520957919401774	7.643604271313866	7.681051900973281
SPV_0007	4.495193014838339	4.669157994422462	4.563828434461924	5.396177044720669	5.376782432130389	5.1194881694363685	4.879782599703434	4.975591666359579	4.933944691588424	4.970777244356155	4.937202939341838	5.065395427699755	5.35710576834763	5.405792313662608	5.042238142622219	4.7407211949107735	4.334687407094944	4.525090125952594
SPV_0008	5.308325063073917	5.452305611286886	5.328091583614729	5.995097628982892	6.210129359618988	6.023802610197743	5.711016695116002	5.804287748063565	5.951454651204298	5.871573365368078	5.849495293455787	5.9609830089275055	6.015310105821366	6.128122812927845	5.940661447555406	5.449005939519249	5.461720727745434	5.422756133828729
SPV_0009	2.076780462778096	2.2256002020466332	2.3201289490983004	2.788769461500592	3.068133332226896	2.821356061403739	2.886415491483713	2.7612506904443417	2.73043277653939	2.706204389034908	2.916629638682651	2.870431004958754	2.823983673257586	3.1341367270738587	3.0790470237390646	2.1649863886241962	1.8044044068648595	2.334099348408447
SPV_0010	7.332429957693827	7.435612723633592	7.272979269100484	8.078358304779018	8.171119391229889	8.00547943508542	7.850167694406317	7.967233036846212	8.082630906496359	7.925564254362587	7.936745937082203	7.980656169936344	8.142352036514366	8.138307848066674	7.942102350955565	7.714137391676226	7.6497328952476185	7.730845524048888
