feature_id	XbaseMean	Xlog2FoldChange	XlfcSE	Xstat	Xpvalue	Xpadj
SPV_0001	5848.82122862734	0.286611171039036	0.0544401401983948	5.26469635681585	1.40421246617393e-07	3.98764198191024e-07
SPV_0002	4888.77625015508	0.00281985252526504	0.0524328649121363	0.0538016429580602	0.957093200526136	0.968806732812024
SPV_0003	193.875882924714	0.750905228278701	0.167593733340848	4.48142730733426	7.41454881521598e-06	1.80809329216262e-05
SPV_0004	3936.13223593172	0.631944064421765	0.0397861683612808	15.8834727913542	8.24824644506664e-57	2.97686712608314e-55
SPV_0005	518.373396272043	0.317434807294764	0.0839367512333636	3.78158558082857	0.00015583263056647	0.000331896750723651
SPV_0006	2786.1909892467	0.221151963960417	0.0612963232257953	3.60783438202014	0.000308763472524933	0.000633156500993794
SPV_0007	418.675500531412	0.732358571411595	0.115860309860565	6.32059395569861	2.60559849134337e-10	9.07388246546769e-10
SPV_0008	745.975373331861	0.581317105712309	0.080253831882588	7.24333366185386	4.37788088258575e-13	1.90155219954764e-12
SPV_0009	84.4861690852383	0.914390546651009	0.178619917509572	5.11518660221496	3.13430944856632e-07	8.6772723227394e-07
SPV_0010	3155.67999580843	0.374790236355048	0.0688055273688603	5.44705063044984	5.12118893644049e-08	1.52179042497521e-07
SPV_0011	2178.26109108143	0.118025144694211	0.0726664863829948	1.62409552625031	0.104355422635859	0.145467355289453
SPV_0012	5943.60496662013	0.259957193754394	0.0723516628114876	3.59287906862386	0.000327044390412806	0.000669951615035521
SPV_0013	25410.0397085689	0.14008009894393	0.0525499555887864	2.6656358800867	0.00768428710879816	0.0131721156398656
SPV_0014	241.854432198412	0.061176609994301	0.144431238132556	0.427037825990343	0.66935177686777	0.732828011712854
SPV_0023	341.921547168189	-0.37272139632023	0.113523363697271	-3.28151738658836	0.0010325015876123	0.00199757860761248
SPV_0024	10630.2728389074	-0.430442691521612	0.0774427502431979	-5.55820122469765	2.7256904234695e-08	8.23515295370922e-08
SPV_0025	43.2953532334206	0.68985750906128	0.276828667185181	2.49269492182614	0.0126777723118228	0.0211651623540523
SPV_2459	1.09893147904616	0.453539218910014	0.630052595745391	0.642334052167083	0.52065630899337	0.590235735780606
SPV_0027	437.777671620506	0.409589355509192	0.103417079191476	3.96158902036872	7.44526133377677e-05	0.000163302140856872
SPV_0028	682.493212172553	0.533813028127547	0.077604268668362	6.87880631183334	6.03561552277498e-12	2.36772664282774e-11
SPV_0029	1486.51731736707	0.0996206767083381	0.0702283367956367	1.41862925218818	0.156007132986385	0.208534787190555
SPV_0030	3848.55272592645	0.445323947932352	0.0528143068041816	8.43207537403375	3.39588129452492e-17	1.97678134006803e-16
SPV_0033	10154.6359315208	0.351971511477572	0.0642169649921123	5.48102292714099	4.22873672016593e-08	1.26036672515456e-07
SPV_2460	442.342990952437	0.269021012729027	0.117844628249183	2.28258498557517	0.0224548262092562	0.0359935844536109
SPV_0038	11215.3264557662	-0.0711825561171577	0.0526854660442404	-1.35111049987864	0.176660038494987	0.231160300865227
SPV_0039	2090.08145649131	0.551404106090518	0.0914456998494642	6.02949696336699	1.64470806789813e-09	5.50547304347013e-09
SPV_0040	12885.752226112	0.354903036214917	0.0657450663202395	5.39817010737951	6.73240206949306e-08	1.95663515489659e-07
SPV_0041	3420.45461340767	0.410378177613272	0.0570019738447933	7.19941841680472	6.04699240471452e-13	2.59250106336033e-12
SPV_0042	1546.34734918768	0.473924024421927	0.0574248021630712	8.25319707129107	1.54212442711567e-16	8.62286475443553e-16
SPV_0043	2300.94347914907	0.432826705431899	0.0663940827929635	6.51913194278215	7.07154306558596e-11	2.54293713499785e-10
SPV_0044	1024.66943010587	0.551875290425148	0.0656683145082085	8.40374582847426	4.32458155488485e-17	2.50270973365785e-16
SPV_0046	607.194028251365	0.542078740792861	0.0899320553874344	6.02760662155188	1.6640547136196e-09	5.56085623995775e-09
SPV_0047	82.4889238115727	0.0495540544389524	0.230582681969443	0.217955401663943	0.827463860330647	0.868208261800287
SPV_2462	227.209098208448	-0.22089381752118	0.196276346485964	-1.12516709348383	0.26051823451486	0.324534423618931
SPV_2461	19.7050368030073	0.106866751477141	0.449836811887409	0.233944805842688	0.815027828173021	0.856447982489914
SPV_2085	13.4537013939409	-0.359974023296316	0.416741781254636	-0.862592186554211	0.388361727807705	0.458594901664661
SPV_0048	29.8375891917177	0.0565787992804409	0.286015421981902	0.198213846912954	0.842877754150606	0.88058544315208
SPV_0049	1944.94289423512	-0.209914319125207	0.101853992428716	-2.05929102379709	0.0394663678536044	0.0605415302854751
SPV_0050	1636.83125413354	-0.10417169178974	0.0876035419046585	-1.18530873484651	0.235895401152178	0.298630338831042
SPV_0051	5819.80912827322	-0.551764813379375	0.172022342269371	-3.20741742908769	0.00133932502153295	0.00255385222645812
SPV_0052	35338.469426235	-1.275679109676	0.0913288888924011	-13.9679598657916	2.44531465215972e-44	4.85394958453704e-43
SPV_0053	16107.6449113432	-1.34711199160432	0.0933426888114264	-14.431830219738	3.26305901098752e-47	7.71091921048836e-46
SPV_0054	10541.110754721	-1.33650758444639	0.0880195783292355	-15.1840860155588	4.5080299277067e-52	1.37668298561505e-50
SPV_0055	4565.60236737192	-1.30824219361069	0.0691159350340046	-18.9279242639725	6.7156948651988e-80	4.44355143580654e-78
SPV_0056	4143.15090754435	-1.29546707007753	0.0867804600843368	-14.9277585531661	2.1745349298286e-50	5.91294772015037e-49
SPV_0057	17899.7473567928	-1.4466123574772	0.0795414780148238	-18.1867588539857	6.57130268082582e-74	3.34462456959981e-72
SPV_0058	9554.94472285472	-0.799777705228523	0.0992211173236471	-8.06055245640621	7.59504119958591e-16	4.06365411891591e-15
SPV_0059	3856.17934089214	-0.944288726573938	0.0758990034322135	-12.441320709843	1.55904554392547e-35	2.17937000330427e-34
SPV_0060	6968.0904196248	-1.09663189643092	0.0763049720754292	-14.3716468282033	7.79552706799617e-47	1.79931642208981e-45
SPV_0061	1846.07112057206	-0.510937089320099	0.109058960783192	-4.6849589364071	2.80016066454851e-06	7.06266698745718e-06
SPV_0062	18463.280218393	-0.858529273922706	0.0517998565567868	-16.5739589149248	1.07508712441478e-61	4.63923465644203e-60
SPV_0063	3612.66781035577	-9.4897669863717e-05	0.0559191156767745	-0.00172665085387615	0.99862233262634	0.999125670495608
SPV_0064	52728.088415097	-0.125571456965609	0.0697949394376505	-1.79914751114173	0.0719953497998322	0.103558528516425
SPV_0065	2825.88280456013	0.268072369193686	0.0696361155969666	3.84935399396633	0.000118429751006191	0.000255803107450804
SPV_0066	642.782785581894	0.0585368774702559	0.0722487446492928	0.809250485673814	0.418371080702647	0.488222572130955
SPV_0067	1279.19942989067	0.00260738112601839	0.0698559155015884	0.0369325653892777	0.970538774026603	0.978922493111182
SPV_0068	1392.27179360703	-0.0406103970078046	0.0677096408245923	-0.600137395443614	0.548414672190327	0.616423060191279
SPV_0069	769.06380257352	-0.107222693372191	0.0902782137571817	-1.18809259503424	0.234796931411542	0.297999941721171
SPV_0070	2149.00171827401	-0.0202713391457247	0.0585905575724268	-0.346266052877053	0.729142778263971	0.783533792112304
