feature_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPV_0001	5848.82122862734	-0.211228388872553	0.0551495659081232	-3.8300340289421	0.000128125539576372	0.000228507813170798
SPV_0002	4888.77625015508	-0.153794334940609	0.0532648086603097	-2.88728321691707	0.00388584277574603	0.00603552262117048
SPV_0003	193.875882924714	-0.312045277688011	0.170560129355396	-1.8282979037722	0.0675048542664384	0.0892124738474569
SPV_0004	3936.13223593172	0.0796580424434803	0.041336777998386	1.92703011685833	0.0539758767676349	0.0725895090675849
SPV_0005	518.373396272043	-0.527363764577714	0.096074846115592	-5.49148607863516	3.98565745310405e-08	9.1781091002454e-08
SPV_0006	2786.1909892467	-0.330256404225669	0.064608923347905	-5.11227706532427	3.18298517425434e-07	6.86763649010311e-07
SPV_0007	418.675500531412	-0.33229864140007	0.122974500581604	-2.70307270052103	0.00687017180011225	0.0104260634734119
SPV_0008	745.975373331861	-0.446710452574494	0.0862205869044121	-5.18166423066861	2.1991483439775e-07	4.83958920487288e-07
SPV_0009	84.4861690852383	-0.554846332969992	0.197043805959275	-2.81659569287119	0.00485355818037876	0.0074975198350598
SPV_0010	3155.67999580843	-0.601436577021473	0.0707946105117757	-8.49575077885639	1.96657557139636e-17	6.8245673238143e-17
SPV_0011	2178.26109108143	-0.992088387710235	0.0761866917669222	-13.0218988637333	9.18578369958226e-39	5.52538807383963e-38
SPV_0012	5943.60496662013	-0.965688812721929	0.074018889391803	-13.0468798028271	6.620369183626e-39	4.00653439923707e-38
SPV_0013	25410.0397085689	-0.567266037087828	0.0529926104308846	-10.7047152748748	9.67275574061525e-27	4.32441895160389e-26
SPV_0014	241.854432198412	1.88615800294267	0.143165295546799	13.1551118345091	1.5904800914473e-39	9.74414500470029e-39
SPV_0023	341.921547168189	2.11996183520943	0.100185772627139	21.1338688896884	3.88383192012894e-99	6.37141021607929e-98
SPV_0024	10630.2728389074	1.83114153135202	0.078059110819552	23.458020642759	1.09484972418297e-121	2.26382989844084e-120
SPV_0025	43.2953532334206	0.00752101052464014	0.283521703691414	0.0281846588840837	0.977514872801439	0.983958936364532
SPV_2459	1.09893147904616	0.689467241425398	0.601627997014111	1.30964685920621	0.190315328468253	0.231500722249943
SPV_0027	437.777671620506	0.429373923091457	0.103800877505104	4.1363896724205	3.52812865669392e-05	6.5820821273848e-05
SPV_0028	682.493212172553	0.282198117721935	0.0802311078257139	3.5174092972676	0.00043578125545618	0.000746355299465503
SPV_0029	1486.51731736707	0.297151323061127	0.0719090177751958	4.13236103947428	3.59055843027639e-05	6.6797174171496e-05
SPV_0030	3848.55272592645	0.231921121961545	0.0532221091383759	4.3576597155415	1.31460561602222e-05	2.53348752213992e-05
SPV_0033	10154.6359315208	0.317956906056965	0.0644963084124446	4.92984621529916	8.2294372149007e-07	1.70694178386394e-06
SPV_2460	442.342990952437	0.0869430710170588	0.124525053448595	0.697896239794419	0.48524208613206	0.540751859473339
SPV_0038	11215.3264557662	-0.450035749100704	0.0534553419294487	-8.41898430024208	3.7976228706488e-17	1.30194842802036e-16
SPV_0039	2090.08145649131	0.253712435962113	0.0932813379299918	2.71986361733994	0.00653088463966841	0.00992634457101209
SPV_0040	12885.752226112	0.607616320113876	0.0661063431552423	9.19149343273101	3.87424601707515e-20	1.47356315882836e-19
SPV_0041	3420.45461340767	0.33385919315861	0.0583377742441335	5.7228496386878	1.0475196917319e-08	2.48174373995777e-08
SPV_0042	1546.34734918768	0.414901601560355	0.0596941739809489	6.95042323984945	3.6419191993246e-12	1.02251903969722e-11
SPV_0043	2300.94347914907	0.262901302780507	0.0681008770466733	3.86045003750117	0.000113178381713043	0.000203495550453253
SPV_0044	1024.66943010587	0.0768074698038325	0.0702221339644598	1.09359832793895	0.274131182900825	0.323513910855017
SPV_0046	607.194028251365	0.0768138020081628	0.0937715732398695	0.819237485705549	0.412650931650453	0.468331674857718
SPV_0047	82.4889238115727	1.10849092997425	0.225417452519814	4.90743715380805	9.22742088907644e-07	1.90796150675174e-06
SPV_2462	227.209098208448	0.448634712350895	0.196350567428728	2.28426540982707	0.0223559374674697	0.0318512254794528
SPV_2461	19.7050368030073	0.363226525795157	0.466534922015004	0.776611094776012	0.437388253775001	0.493024238355126
SPV_2085	13.4537013939409	0.00844790560472673	0.427502214803606	0.0216525456086771	0.982725118005654	0.987700941387961
SPV_0048	29.8375891917177	0.667620469249952	0.310102022613067	2.15100115499903	0.0314761085197003	0.0439690889596095
SPV_0049	1944.94289423512	4.11792819065024	0.0992607767218992	41.4474978836939	0	0
SPV_0050	1636.83125413354	4.6345723772066	0.0846957162876766	54.6141584485169	0	0
SPV_0051	5819.80912827322	0.0227441829381547	0.172863196330521	0.131405937342741	0.895454192072202	0.91528144761242
SPV_0052	35338.469426235	0.411710350902079	0.0915282986463386	4.49820745769579	6.85288102137132e-06	1.34283996322034e-05
SPV_0053	16107.6449113432	0.298052015925039	0.0937923682176963	3.17778603015371	0.00148404227569796	0.00241460976824628
SPV_0054	10541.110754721	0.25895539094528	0.0888349166864466	2.91498929019291	0.00355700748774529	0.00553343249465079
SPV_0055	4565.60236737192	0.432533547672735	0.0716844369680629	6.03390228967905	1.60046860412657e-09	3.96125957505141e-09
SPV_0056	4143.15090754435	0.42226869614615	0.089723717904245	4.7063871506063	2.52145460170636e-06	5.06587791942016e-06
SPV_0057	17899.7473567928	1.18482395427712	0.0804082689063787	14.7354684677735	3.81542370533936e-49	2.91292925196101e-48
SPV_0058	9554.94472285472	0.645258240715186	0.0998462840565373	6.46260013318343	1.02918996697484e-10	2.67751256152694e-10
SPV_0059	3856.17934089214	0.670673520012279	0.0778446625124705	8.61563442451797	6.95553613156622e-18	2.45671516390728e-17
SPV_0060	6968.0904196248	0.646843740147281	0.0773575863640509	8.36180395008699	6.17664255883916e-17	2.09942388344105e-16
SPV_0061	1846.07112057206	0.470056573034725	0.111598312800917	4.21205283285301	2.53060333866483e-05	4.77495021601681e-05
SPV_0062	18463.280218393	0.631815778857449	0.0522997093927187	12.0806941418218	1.33587191242181e-33	7.24509766709644e-33
SPV_0063	3612.66781035577	-0.510791717180126	0.0574672596932689	-8.88828192113753	6.20610503176148e-19	2.26454383971444e-18
SPV_0064	52728.088415097	1.02014363090074	0.0698408790079953	14.6066419279527	2.54769543417287e-48	1.908368089371e-47
SPV_0065	2825.88280456013	-1.01174190847483	0.0734545240956768	-13.7742842581848	3.63972425448037e-43	2.43261031823015e-42
SPV_0066	642.782785581894	-1.34828239004129	0.0892153124765845	-15.1078362774415	1.43784014300192e-51	1.15551120804001e-50
SPV_0067	1279.19942989067	-1.41390480413	0.078519919499901	-18.0045940240705	1.79309647512914e-72	2.08145994335166e-71
SPV_0068	1392.27179360703	-1.49040705389126	0.0761576248434661	-19.5670927519926	2.95039172284888e-85	4.06703303462155e-84
SPV_0069	769.06380257352	-1.40693636294607	0.100052542079493	-14.0584372738622	6.8379539275048e-45	4.77934455848487e-44
SPV_0070	2149.00171827401	-1.45418619098876	0.0648781879239166	-22.4122947518412	2.98644966956498e-111	5.20008999481272e-110
SPV_0071	605.754558393804	-1.18012894851301	0.0965195122020959	-12.225881591095	2.26115215251971e-34	1.23988591788719e-33
SPV_2087	0.0744104219289829	-0.0429955246461331	0.303766285580568	-0.141541463576047	0.887442206538764	0.908495502825914
SPV_0072	184.166058880653	0.0475345177923691	0.128391630090599	0.372250800624559	0.709706125966785	0.754157740922948
SPV_0073	604.436428937629	-0.107931666983602	0.127658983110463	-0.845021627607859	0.398098763796345	0.453371225551202
SPV_2088	4.53261981495328	-0.409819048304836	0.597927032040407	-0.632276987428481	0.527205898182892	0.581390948829467
SPV_2090	0.862547570794261	-0.2204659027973	0.532040614536235	-0.4425534910471	0.658088731523119	0.708793343501568
SPV_0074	2181.45619427111	0.287408201916878	0.0650388961015416	4.41909919663202	9.91131501601597e-06	1.92128518621013e-05
SPV_2091	6.53663274364472	-0.461491060760904	0.54110102458795	-0.836536141463585	0.402853353444699	0.458522882217734
SPV_0076	4963.96873377303	-0.121070376025121	0.0610978783669093	-1.98160270589149	0.0475237240980084	0.0647902419880128
SPV_0077	2638.78745114531	0.422843528725135	0.0727131267051341	5.81521430358239	6.05562554239211e-09	1.45525625927946e-08
SPV_2463	327.065202660125	-0.433883131829323	0.123158850325234	-3.52344038426075	0.000425982916051218	0.00073020387595999
SPV_0080	345.962062607746	-0.266834605715107	0.16933489104945	-1.57556234188619	0.115126700551235	0.145930077007792
SPV_0081	2909.56635244875	0.102935838902367	0.0562440484213096	1.83027017610444	0.0672095487104231	0.0888813818722118
SPV_0082	3690.92086275048	-0.175154276026248	0.0581716310743043	-3.0109895818411	0.00260397786783551	0.00413181140499879
SPV_2464	0	NA	NA	NA	NA	NA
SPV_0083	19339.6900866551	1.18964703639761	0.0614838802908107	19.3487881237746	2.08691550404716e-83	2.78021964800913e-82
