sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	group	label
D39_lac_1	31.771459029061948	5.89814923079605	13.46232635271119	4.017770882316995	0.3318151319821991	1.8312606865390857	-3.937731871382254	-2.111541745426254	0.6000160387478667	0.31012700256114023	3.987494891835108	0.6143238159877621	-1.4225268266483995	-0.8459352539086035	2.650712137509645	1.2624162266383374	-0.5396409610804404	4.5389581901256326e-14	Lactose_120	Lactose $_{\mathbf{OD(0.120)}}$
D39_lac_2	31.481582279645327	6.533035023999518	11.88666015221197	4.41453671052304	2.4609333622556138	-1.6607377851151526	5.573749605562831	-1.9479121041378842	-3.8852074324374244	-0.8506215814592771	-2.598899172555812	-0.26888866466335626	-0.23221141092057448	-0.03132124969416552	0.5910383589840775	0.5274950421137545	0.3348315484557424	4.5389581901255935e-14	Lactose_120	Lactose $_{\mathbf{OD(0.120)}}$
D39_lac_3	31.249853767371775	6.866602144451686	12.133813588554535	3.7141580978400444	2.826556045318216	-0.8649051333816533	-0.9094991355010722	3.823226559329539	3.8234495127739945	0.5277701825691536	-0.876511582902657	0.1873173938522882	1.5289875295141853	0.6169408142226698	-3.1597694475233604	-2.000011153615854	0.25411403927804294	4.538958190125603e-14	Lactose_120	Lactose $_{\mathbf{OD(0.120)}}$
D39_lac_4	30.9175380585538	-9.541414222495161	-12.272312493027655	-4.344070060640456	-2.6647670318717225	-2.4182967522020653	2.9041281230967817	1.6726455741488842	2.2932853467748444	1.1904503417725887	2.099217900262679	-3.4693881243780433	-1.6455252728170697	0.38017407701915185	1.7242700202009353	0.017412121295962913	1.4804605154166566	4.538958190125613e-14	Lactose_400	Lactose $_{\mathbf{OD(0.400)}}$
D39_lac_5	30.75420371383488	-9.568722611008596	-11.891501180510875	-4.269442416131288	-3.338780305963472	0.001721140118033974	0.7677911491800054	0.7338264524433085	-0.3581088218962374	-2.759408709107299	0.448335592255799	4.426774079753652	2.4270663200103666	-0.6074136400471835	0.6148741590386823	-0.4506935806699647	-2.1425230687263612	4.538958190125601e-14	Lactose_400	Lactose $_{\mathbf{OD(0.400)}}$
D39_lac_6	30.365420481720577	-8.589631052023407	-8.36382502280381	-2.7211058504884846	-2.1388978590108025	3.041811007506872	-4.393553536484669	-1.7595952428638195	-2.6912234746703145	1.5635885692988118	-3.1615329309806093	-1.6001474567768639	-0.6412561744931062	0.41744294375969593	-2.499818225289211	0.6038250312628859	0.5886109957921977	4.538958190125604e-14	Lactose_400	Lactose $_{\mathbf{OD(0.400)}}$
D39_LNnT_7	-17.187737446542293	6.144147227612218	7.809155775007274	-9.807183912318964	-6.992173159536592	7.193244903565305	3.0672645455601044	-0.03900047945624936	1.3853250011827616	-1.1486265441405488	-0.12724084424998158	-0.7260368310510495	-0.7478858121891937	-0.03838572130629415	-0.23040258221137794	-1.0505016344806328	-0.09308713911570377	4.538958190125616e-14	LNnT_120	LNnT $_{\mathbf{OD(0.120)}}$
D39_LNnT_8	-16.349306317487695	5.891296662844482	5.912787347849303	-10.73191373178997	-4.937626041407346	-3.85512364679061	-0.7426742380297806	0.18847552109627527	-0.21082944252497074	4.941570157399358	-1.5835200993263518	2.52031192736813	-0.5667651736763903	1.6335044622411057	1.2393248301068807	0.245918165047327	-0.653860824162029	4.538958190125589e-14	LNnT_120	LNnT $_{\mathbf{OD(0.120)}}$
D39_LNnT_9	-16.29424712542812	5.865856473446367	5.7090874156518705	-10.78654941080937	-2.604870706334707	-4.4786457242773565	-2.388286607350794	-0.12488372842192785	-1.4983264142052648	-4.116478758277682	1.362191780973912	-2.208048880079162	1.5441576584988432	-1.3911856850285806	-1.4064243824246765	0.9628555133564755	0.8525818183664333	4.538958190125607e-14	LNnT_120	LNnT $_{\mathbf{OD(0.120)}}$
D39_LNnT_10	-15.310335150789278	-11.964579181855173	0.39635848028459714	-4.194154988341014	7.626731185187523	-1.41329738083197	1.1512642721504687	-4.049973729813222	1.2432087011591946	0.7001530451450382	1.1948260506756598	0.9778997171940834	-2.549491804264553	-2.2076602739785023	-2.3489175963965994	-2.2141885827787338	-0.8123750866262783	4.538958190125616e-14	LNnT_400	LNnT $_{\mathbf{OD(0.400)}}$
